Net Status Report
Filename     : E:\MyData\VFD-Clock\Project\Hardware\VFD-Clock.PcbDoc
Date         : 2018/8/30
Time         : 22:44:58
Time Elapsed : 00:00:01

Nets, Layer, Length
    +2.5, Signal Layers Only, 8356.754mils
    +27, Signal Layers Only, 17948.596mils
    +3.3V, Signal Layers Only, 13805.257mils
    +5, Signal Layers Only, 18973.959mils
    +5#, Signal Layers Only, 2678.746mils
    3V3, Signal Layers Only, 822.953mils
    595-CLK, Signal Layers Only, 7615.951mils
    595-DIN, Signal Layers Only, 5576.931mils
    595-Latch, Signal Layers Only, 7538.742mils
    595-OE, Signal Layers Only, 1693.546mils
    BEEP, Signal Layers Only, 1979.91mils
    ESP-RX, Signal Layers Only, 1188.059mils
    ESP-TX, Signal Layers Only, 1290.171mils
    GND, Signal Layers Only, 1612.142mils
    INT#, Signal Layers Only, 1515.446mils
    Infrared, Signal Layers Only, 2593.033mils
    LED1, Signal Layers Only, 3925.063mils
    LED2, Signal Layers Only, 3700.114mils
    NRST, Signal Layers Only, 715.958mils
    NetBT1_1, Signal Layers Only, 470.976mils
    NetC17_2, Signal Layers Only, 376.055mils
    NetC24_2, Signal Layers Only, 345.678mils
    NetC25_2, Signal Layers Only, 424.284mils
    NetC34_2, Signal Layers Only, 283.988mils
    NetC8_2, Signal Layers Only, 333.591mils
    NetD1_K, Signal Layers Only, 108.33mils
    NetD2_1, Signal Layers Only, 1073.933mils
    NetD3_K, Signal Layers Only, 108.207mils
    NetD4_2, Signal Layers Only, 1513.377mils
    NetD5_1, Signal Layers Only, 588.905mils
    NetJ1_2, Signal Layers Only, 1743.836mils
    NetJ1_3, Signal Layers Only, 1522.754mils
    NetL1_1, Signal Layers Only, 1604.635mils
    NetP1_4, Signal Layers Only, 868.381mils
    NetQ1_1, Signal Layers Only, 124.311mils
    NetQ1_2, Signal Layers Only, 125.482mils
    NetQ2_1, Signal Layers Only, 190.766mils
    NetR13_2, Signal Layers Only, 168.731mils
    NetR14_1, Signal Layers Only, 588.469mils
    NetR15_1, Signal Layers Only, 392.771mils
    NetR1_1, Signal Layers Only, 272.614mils
    NetR6_1, Signal Layers Only, 258.748mils
    NetR8_1, Signal Layers Only, 524.741mils
    NetTube1_11, Signal Layers Only, 1712.008mils
    NetTube3_11, Signal Layers Only, 1709.245mils
    NetTube5_11, Signal Layers Only, 1685.815mils
    NetU10_2, Signal Layers Only, 1427.739mils
    NetU13_5, Signal Layers Only, 223.4mils
    NetU16_1, Signal Layers Only, 447.146mils
    NetU16_15, Signal Layers Only, 612.813mils
    NetU16_2, Signal Layers Only, 497.146mils
    NetU16_3, Signal Layers Only, 776.971mils
    NetU16_4, Signal Layers Only, 978.225mils
    NetU16_5, Signal Layers Only, 1123.545mils
    NetU16_6, Signal Layers Only, 1284.391mils
    NetU16_7, Signal Layers Only, 1434.06mils
    NetU17_1, Signal Layers Only, 415.044mils
    NetU17_15, Signal Layers Only, 579.941mils
    NetU17_2, Signal Layers Only, 465.044mils
    NetU17_3, Signal Layers Only, 735.747mils
    NetU17_4, Signal Layers Only, 947.499mils
    NetU17_5, Signal Layers Only, 1115.25mils
    NetU17_6, Signal Layers Only, 1287.223mils
    NetU17_7, Signal Layers Only, 1445.603mils
    NetU18_1, Signal Layers Only, 363.185mils
    NetU18_15, Signal Layers Only, 527.527mils
    NetU18_2, Signal Layers Only, 411.942mils
    NetU18_3, Signal Layers Only, 738.476mils
